risk_budget,method,seed,tasks,success,fixed_risk_success,collision,dynamic_violation,risk_proxy,mode_escape
0.00,strong_guided_diffusion,3,8,0.00000,0.00000,0.12500,1.00000,1.00000,0.00000
0.00,strong_guided_diffusion,4,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,strong_guided_diffusion,5,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,strong_guided_diffusion,6,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,strong_guided_diffusion,7,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,support_projected_guidance,0,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,support_projected_guidance,1,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,support_projected_guidance,2,8,0.00000,0.00000,0.12500,1.00000,1.00000,0.00000
0.00,support_projected_guidance,3,8,0.12500,0.00000,0.12500,0.87500,0.87995,0.00000
0.00,support_projected_guidance,4,8,0.12500,0.00000,0.00000,0.87500,0.87995,0.00000
0.00,support_projected_guidance,5,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,support_projected_guidance,6,8,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
0.00,support_projected_guidance,7,8,0.12500,0.00000,0.00000,0.87500,0.88359,0.00000
0.00,mode_diverse_diffusion,0,8,1.00000,0.00000,0.00000,0.00000,0.00327,1.00000
0.00,mode_diverse_diffusion,1,8,1.00000,0.00000,0.00000,0.00000,0.00326,1.00000
0.00,mode_diverse_diffusion,2,8,1.00000,0.00000,0.00000,0.00000,0.00325,1.00000
0.00,mode_diverse_diffusion,3,8,1.00000,0.00000,0.00000,0.00000,0.00319,1.00000
0.00,mode_diverse_diffusion,4,8,1.00000,0.00000,0.00000,0.00000,0.00324,1.00000
0.00,mode_diverse_diffusion,5,8,1.00000,0.00000,0.00000,0.00000,0.00329,1.00000
0.00,mode_diverse_diffusion,6,8,1.00000,0.00000,0.00000,0.00000,0.00331,1.00000
0.00,mode_diverse_diffusion,7,8,1.00000,0.00000,0.00000,0.00000,0.00329,1.00000
0.00,diffusion_cem_hybrid,0,8,1.00000,0.00000,0.00000,0.00000,0.00305,1.00000
0.00,diffusion_cem_hybrid,1,8,1.00000,0.00000,0.00000,0.00000,0.00304,1.00000
0.00,diffusion_cem_hybrid,2,8,1.00000,0.00000,0.00000,0.00000,0.00307,1.00000
0.00,diffusion_cem_hybrid,3,8,1.00000,0.00000,0.00000,0.00000,0.00300,1.00000
0.00,diffusion_cem_hybrid,4,8,1.00000,0.00000,0.00000,0.00000,0.00302,1.00000
0.00,diffusion_cem_hybrid,5,8,1.00000,0.00000,0.00000,0.00000,0.00305,1.00000
0.00,diffusion_cem_hybrid,6,8,1.00000,0.00000,0.00000,0.00000,0.00303,1.00000
0.00,diffusion_cem_hybrid,7,8,1.00000,0.00000,0.00000,0.00000,0.00306,1.00000
0.00,cem_trajectory_optimizer,0,8,1.00000,0.00000,0.00000,0.00000,0.00330,1.00000
0.00,cem_trajectory_optimizer,1,8,1.00000,0.00000,0.00000,0.00000,0.00333,1.00000
0.00,cem_trajectory_optimizer,2,8,1.00000,0.00000,0.00000,0.00000,0.00330,1.00000
0.00,cem_trajectory_optimizer,3,8,1.00000,0.00000,0.00000,0.00000,0.00321,1.00000
0.00,cem_trajectory_optimizer,4,8,1.00000,0.00000,0.00000,0.00000,0.00332,1.00000
0.00,cem_trajectory_optimizer,5,8,1.00000,0.00000,0.00000,0.00000,0.00321,1.00000
0.00,cem_trajectory_optimizer,6,8,1.00000,0.00000,0.00000,0.00000,0.00329,1.00000
0.00,cem_trajectory_optimizer,7,8,1.00000,0.00000,0.00000,0.00000,0.00333,1.00000
0.00,support_aware_energy_bridge_v5,0,8,1.00000,0.00000,0.00000,0.00000,0.00318,1.00000
0.00,support_aware_energy_bridge_v5,1,8,1.00000,0.00000,0.00000,0.00000,0.00313,1.00000
0.00,support_aware_energy_bridge_v5,2,8,1.00000,0.00000,0.00000,0.00000,0.00318,1.00000
0.00,support_aware_energy_bridge_v5,3,8,1.00000,0.00000,0.00000,0.00000,0.00311,1.00000
0.00,support_aware_energy_bridge_v5,4,8,1.00000,0.00000,0.00000,0.00000,0.00311,1.00000
